sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM475656,tumor,6.218805116052534,4.182044535033689,7.218444101073084,8.566346463732673,6.615274026237665,6.969706582589276,6.7073447834753095,7.891360005184939,6.5408032204027,5.65377008099249,5.228518336612437,6.076880227974534
GSM475657,nontumor,6.7062997501343276,4.421329712611227,7.866904423488403,9.31042253111293,7.594197757957376,6.138862004352619,6.304128037641772,6.397174403985771,6.970564161572037,5.5082286183808105,4.781543278760216,5.964356098193113
GSM475658,nontumor,6.26341058855129,4.308134815138873,8.020237806126728,8.829506267039342,7.884862169977792,5.344041875389073,8.24420531104322,7.755800782459886,7.221141038198309,5.274613246507737,5.213828965297572,5.866097396786906
GSM475659,nontumor,6.354318607091864,4.142768724706664,7.992630524000182,9.262858698928651,7.745407569798525,5.499017804511075,6.901236776406021,6.711060966863755,6.988875225080121,5.629544957399739,5.213445085167723,5.573524306599703
GSM475660,nontumor,6.415588319382488,4.56145034057591,7.940164339534309,8.590809370001935,7.68522261207229,6.4416480471101885,6.749159235113041,7.890869969739093,6.445606612341367,5.102449513567628,5.208810783951986,5.7604857977294
GSM475661,tumor,4.664187229781371,4.459370070016586,8.608004846573525,7.8906703778578215,5.771804339834857,6.220033443463533,7.47858337851312,5.88592674652703,5.632135900764637,4.956500845963108,6.017231527027638,5.286832315556548
GSM475662,tumor,5.7780695273528355,4.263588111209028,7.826777917173761,7.593656942051272,6.313722112188318,6.301945017714226,8.542597152033716,6.287467672396986,6.371379253403637,5.8197336890261155,5.5208588400279455,5.595201507268487
GSM475663,nontumor,6.6974222839589705,4.291427859020617,8.119930469869143,8.891611383744701,7.323436784057364,5.484685385008307,7.53692654611485,6.9715544157000995,6.785942594623824,5.463470607055369,4.950240591206359,5.922362505878382
GSM475664,tumor,5.576654086772104,4.898118510312565,6.725377791225073,7.773881112665556,6.416228761332185,6.395955497858486,6.717914558017298,6.629806698225476,5.918488483789799,4.713649133221356,5.661973403635104,5.761299465972224
GSM475665,nontumor,6.611529614245982,4.287430806623289,7.4011559661905935,9.425031300800818,7.415036421527542,5.953198669418951,6.692101445298906,8.20158623651293,6.790619877308487,5.290157588080401,4.864067155348979,5.770370532929638
