sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM254681,non-tumor,7.1955484155160985,5.802662479483633,9.782886271165879,8.330466204916881,7.580236271090199,9.77545976237928,9.266674216027475,8.95494639170969,7.936495908359486,9.6185178039607,7.333412666392663,5.073737564644788
GSM254682,tumor,7.881385083609489,6.1011623506168355,9.156933558517103,8.005247598972488,7.154252551583112,9.814755240553389,7.3355128141625,8.826740791007351,7.526640012787225,8.034715602859333,7.3263302664701975,5.283410306092274
GSM254683,non-tumor,8.149822502566906,5.836901738320635,9.206675204111185,7.578429101262277,7.4900437281240775,9.281534181868187,7.64613689462941,9.290719759255367,7.20914707327943,8.70956918049436,7.471656239158727,5.168375165372193
GSM254684,tumor,7.841219595580971,6.360155104956705,9.403424411471358,7.377744635057285,7.623965669710395,9.777805218323172,6.261958173602308,9.03323150177022,6.838317149603929,8.039397771498539,7.313924651235133,5.5271804997836345
GSM254685,non-tumor,8.468608987695891,6.133713125004069,9.548940337299506,7.110723909912696,7.850763189037564,9.662721285922446,7.50363791472758,9.186528432375255,7.144032021232423,7.617315668120323,7.611280518640711,5.374080684936652
GSM254686,tumor,7.380669508826935,6.120127209260004,9.560979254461799,7.196865528404221,7.326289961686734,9.944584258368877,7.62075543773839,8.867371002597514,7.324833652139586,7.992927797221396,7.687548116093547,5.376239045487382
GSM254687,tumor,7.5968851594938265,6.2063097498299165,9.025091422297846,8.120983641868037,7.346275687649245,9.38509525866509,6.551669226834096,8.812739267806217,7.7242724537896255,7.592413685268353,7.36682069032896,5.085644376233036
GSM254688,tumor,7.917672582531701,5.959073422362433,9.478304427511954,7.5493609056305075,7.260644517146555,9.680128511059701,7.8981251593049,8.454232792352157,7.168925968884585,7.565696953647631,7.339612284750701,5.1445384894543
GSM254689,non-tumor,8.030056646150943,5.889639261657045,9.72096266495027,8.027852754980957,7.654112667659658,9.368330685105537,8.702126471451235,9.356932697065023,7.922412583579188,8.80240237322518,7.210976603270781,5.0292788894969664
GSM254690,tumor,7.670338834034221,6.009945024889676,9.344648025702991,7.444928173812747,7.257502042103526,9.849927526738947,8.199263827971361,8.760955866349063,7.229063455076643,7.896920555941149,7.7208748346228315,5.31599442815589
GSM254691,non-tumor,7.903542704077653,6.03044257542773,9.432978772997133,7.397399429642248,7.802345685093733,9.737530160057778,7.324826206906216,9.904266298239198,7.323888290675601,7.864535095329806,7.358145170318809,5.274789175279569
GSM254692,tumor,7.55700746510642,6.1320629671618745,9.118842126303091,8.796837388177824,7.099882909899388,9.707657180230612,9.305634161789024,8.464084786572982,7.098519862171362,8.003767251983719,7.128031371755423,5.181300539314568
GSM254693,non-tumor,7.543680639832775,5.802242428033803,9.30295807085251,7.3608484035406,7.967190915631947,10.06091933931185,9.049324944911879,9.991022582512718,7.876523774953996,9.884753738221828,7.714026708382345,5.198804196217795
GSM254694,tumor,7.61018607109287,6.081944051371231,9.111873618168449,6.758216429644958,7.739031564239283,10.005691886588494,8.674209204232147,9.548063720091465,7.677118256310354,8.677950283107972,7.975140026164475,5.3735649864116715
GSM254695,non-tumor,7.975810030436337,6.007626166405235,9.456098640137434,7.144703321692592,7.686245421608413,9.539772050993575,6.638129848152187,10.077566270230962,7.340324149613227,7.136888438420007,7.446311067160171,5.440366014889385
GSM254696,tumor,7.71783289917417,6.06659962921469,9.701957655374157,6.803813360478661,7.425051641839757,9.740675500847717,7.336247818604473,8.902391955138157,6.844002080327719,8.15832557399775,7.654847453915085,5.320563870336431
GSM254697,tumor,7.689984589257504,5.939727427276541,9.87681129828143,7.795071995568899,7.454846454905035,9.875490958936469,7.707889703894912,8.95910596979478,7.06627489974602,7.939931536933407,8.159090120592992,5.558984198247344
GSM254698,tumor,7.56851299963653,6.007351112509049,9.370755609283263,7.129431781790412,7.535286432185864,9.726497237399924,6.821180893144171,9.09582252571832,7.030536477912714,8.16512087892188,7.949686128232694,5.772970848689959
GSM254699,non-tumor,7.619548412410547,5.858354871277133,9.447502791334838,7.4780622325145485,8.230218205882363,9.408701850597915,6.658053054270942,10.095173669232699,7.455707803992524,8.494430941164616,7.558616985529206,5.390385659471807
GSM254700,tumor,7.624745371849434,6.6437534155353335,8.301480203117876,6.061061069299804,7.747971485411866,9.542370084904833,6.565652155333399,8.536768271568794,7.002713836523223,7.026307563579959,7.939781934944638,5.928752480564395
GSM254701,tumor,7.430999931411812,6.280154869280776,9.628166333691084,6.859601402531556,7.5929569235183845,10.146599482635049,7.985981799659109,9.546116942131706,7.542723720975706,8.719217767543533,7.950925703031305,5.533453726916272
GSM254702,non-tumor,7.5607673265693105,5.872635809805596,9.383944803160821,7.039241848267437,8.161787388685827,9.59795627025746,8.513172889599167,10.521559319282234,7.595129135260363,9.266317065535857,7.643697282664671,5.365948356537219
GSM254703,non-tumor,8.240407467362523,6.2009438645615225,9.577239920840588,7.513498119767256,7.852576188497321,9.679930741023336,7.850957041873303,9.782724944430395,7.369698900852472,6.931635217454206,7.400004934483717,5.34450301103442
GSM254704,tumor,7.792418223508427,6.7149992348442655,9.088498962866971,6.475157672697432,7.306972744270502,9.956077061094033,7.4023686192854505,9.333208125090069,7.521852629590816,6.76202523316835,7.728244598647999,5.820217859539325
GSM254705,tumor,7.394629921462963,5.595262574123911,8.791241278965094,8.048586422839909,7.396423975833357,9.101529422689353,7.660696143597751,8.910269788400077,7.9587496750470965,7.603685436134998,7.276240363612466,5.127400719882974
GSM254706,non-tumor,7.656288495991825,5.8201369015694855,9.161079035807697,8.376755621394386,7.928758154186993,9.60656845383358,8.47551134789281,9.770535118499687,8.100381676975411,9.285554736404542,7.282182751455586,5.323604144195228
GSM254707,tumor,7.593559237509335,5.9726448320635,9.041524328650205,6.984224338771789,7.328375418017048,10.087038638110826,8.154656067852997,8.727783632132537,7.108892600808776,8.308781001138314,7.393403191803728,5.0967481659454155
GSM254708,non-tumor,7.720366144408331,5.932076187775162,9.344639211820754,7.339671124661436,8.062547539407962,9.672741705110722,7.491152830006638,9.770142478723914,7.369189798207263,8.919166148639246,7.553676784267557,5.200497199356223
GSM254709,tumor,7.125507488348903,6.247959295170889,9.491272437924087,8.237308004996269,7.593492620994228,9.694198278166981,8.107056395395977,9.423130142341096,8.110979906263855,9.15835562867542,7.511153404245072,5.337970907158497
