sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM813490,tumor,7.4642358325,7.08718023,7.906855673,8.0455927825,8.946334635,6.965896276,7.9093540415,7.532062682,8.571604428,7.740420655,7.676371202,8.103645333
GSM813491,tumor,7.7360256695,7.409339381,8.232264652,8.820195531,9.744284877,6.979166685,7.395784314,7.252072721,8.0513725155,8.223009993,8.033695363,9.249845909
GSM813492,tumor,7.712428978,7.539187977,9.480259872,7.9674448135,8.959339412,6.758290457,7.269197276,6.878856682,8.4085550685,9.012466942,7.498761293,8.799531673
GSM813493,tumor,8.121379423,7.419436722,8.478063589,8.871310479,9.564369963,6.913600493,7.1566836145,7.300437773,8.005459195,7.9000384,7.588346879,8.507792798
GSM813494,tumor,7.8467312915,7.560000214,7.95816523,7.439533589,9.091043625,7.234676732,7.2923930285,6.946596244,7.676259027,8.464065974,8.687678748,8.766902072
GSM813495,tumor,7.543187208,7.387617582,8.616513189,8.3069744745,9.806383997,6.882640604,7.1987493525,7.45723886,8.369541823,8.676855527,7.525038395,9.11549161
GSM813496,tumor,7.307981677,7.488568556,8.099379557,7.540930743,8.427865861,7.15560488,7.414009442,7.362997814,8.013926571,7.469826164,8.178729851,8.308359899
GSM813497,tumor,7.885990215,7.912673173,8.872046185,8.1558988495,9.470412268,6.854507989,7.2269468385,9.199640962,8.3626890935,8.175074037,8.731484953,9.212131671
GSM813498,tumor,7.296068417,7.184657735,9.711117662,9.4532907745,8.511537914,7.167296391,7.6778460095,7.959384425,7.8567841865,7.050040751,8.321939246,8.137488359
GSM813499,tumor,7.8846664865,7.639173682,8.632244998,8.438043,10.30381559,6.71182038,6.9966596545,8.483614032,8.790376837,8.011291627,7.28042696,9.005418672
GSM813500,tumor,8.25760407,8.428061754,7.788702298,8.3692207375,9.686356726,6.980986709,7.4124169185,7.889283677,9.0381374665,7.544992643,7.436758539,8.11534315
GSM813501,tumor,7.892599183,7.518980002,8.759580336,8.336186937,10.07790684,6.909850314,7.089140007,8.753275431,9.0887837725,8.792066438,7.28235962,9.108220038
GSM813502,tumor,7.6275414745,7.331942518,8.602826463,7.5590773085,8.621678938,7.098284827,7.8969709885,7.426355892,8.248282265,8.099074127,8.269547964,8.392445731
GSM813503,tumor,8.046781709,7.571244734,8.901482681,8.237387732,9.567830856,6.99632093,7.1314247425,8.245981198,8.269306157,8.611084886,7.3818528,9.044625073
GSM813504,tumor,7.6402099265,7.798068393,9.007001303,8.11831916,9.09347264,7.365288937,8.471857364,7.421800784,8.7381644205,7.690967229,7.695932505,7.838333273
GSM813505,tumor,7.5362813995,6.953908033,8.765422128,7.9830942465,9.179527403,6.990635437,7.331336298,7.263828897,8.341681188,9.353859784,7.998392305,9.558061988
GSM813506,tumor,7.4894278675,7.159546291,8.229607377,8.1253204865,9.377979023,6.963489453,7.5812634575,7.510039832,8.4875061265,8.39425788,7.331677934,8.207516151
GSM813507,tumor,7.565354378,7.889435706,8.446916221,8.0891171945,8.983175313,7.044322461,7.8377171825,8.013326285,8.774318041,7.401701575,7.631781999,8.090196505
GSM813508,tumor,7.637458274,7.188428967,7.984081767,8.467219986,9.913448013,7.033926701,7.400475479,8.658308273,8.754511748,9.173574802,7.498094953,9.620178002
GSM813509,tumor,7.739998047,7.765352448,8.487692157,8.0462781965,8.675823979,7.025551828,7.5604279035,7.288342397,8.2477364345,8.265913389,8.080464998,8.602046185
GSM813510,tumor,7.4329019475,6.979977734,8.461279489,8.399695631,9.504327132,7.115162181,7.5122698995,7.861244755,8.3789368225,8.830470531,7.882102013,10.01772945
GSM813511,tumor,7.472860152,8.706315031,7.654180133,7.853110588,9.380427945,6.905123879,8.0716046185,7.185732539,8.469940816,9.347127086,8.041890347,8.807103534
GSM813512,tumor,7.3274360355,7.318075924,8.269416559,8.688410155,10.02970653,7.040547159,7.278599603,8.58014776,9.227034687,8.751477009,7.502916389,8.943511673
GSM813513,tumor,7.963430079,7.630457786,8.197559049,7.832372845,10.31913532,7.146020063,7.471005342,7.918966587,8.7065251105,8.936651077,7.905591777,8.962859193
GSM813514,tumor,7.65757116,7.43189073,8.899157144,8.372092624,9.902989387,6.974301526,7.3795845535,8.191524202,8.590259564,9.313362037,7.462282326,9.267511503
GSM813515,tumor,7.371632665,9.230319094,8.262529927,7.814083374,8.589753322,7.079822876,7.618198232,7.306621456,8.2813476815,8.092798182,7.849550177,8.099669591
GSM813516,tumor,7.6490666815,7.230983803,8.989927265,8.5227508015,9.578616563,7.100755642,7.4707721065,7.882251722,8.3793521065,9.313241529,7.637334859,9.245708704
GSM813517,tumor,7.3622479705,8.166432271,8.102840759,7.6023827075,9.341971644,7.116962582,7.562470168,7.269980167,9.085092721,7.976903003,7.857181526,8.201616346
GSM813518,tumor,7.638397162,7.288437696,9.076924829,8.7265259045,9.553670152,7.245923187,7.691509629,8.58428532,8.9394754015,9.50673654,7.56534394,9.19536805
GSM813519,tumor,7.8554911295,7.1125373,8.521837187,8.897119465,9.866451215,7.038839105,7.6690869245,8.47404299,8.811198408,8.667920031,7.064790946,8.183725186
GSM813520,tumor,7.4969281085,7.840820621,8.068439023,8.3016235705,9.056687172,7.063073397,7.748258078,7.731637491,8.5172800885,8.323817833,8.362283888,8.01133234
GSM813521,tumor,7.6131735915,7.163043198,9.45986913,8.558828296,9.397804918,7.040710701,7.6306779935,8.092783741,8.5183150735,8.531774617,7.904831676,8.51413994
GSM813522,tumor,7.5007749795,8.003773515,8.278105783,7.7992315165,9.143107472,7.073148106,7.758394447,7.381949231,8.3331138115,8.467693153,8.056500537,9.149124713
GSM813523,tumor,7.6018215695,7.352596779,7.467767332,8.5987626465,9.706082939,6.957173091,7.376158141,7.430744241,8.5621060475,9.683047344,8.16778036,9.331730681
GSM813524,tumor,7.382816418,8.147938494,8.122757144,7.5827960205,8.803118948,6.928766535,7.399256558,6.804719207,8.1992597225,8.306618672,7.450159954,8.57377643
GSM813525,tumor,8.193041037,7.746151463,8.610779127,8.855141212,9.266331939,6.961860691,7.453085895,7.650979152,7.907038259,7.572473242,7.590185248,8.180620888
GSM813526,tumor,7.466383229,7.846958183,8.566520943,8.3332800065,9.01604895,6.821475092,7.482847045,7.795838146,8.085198295,8.014325999,7.389987268,7.98821425
